year,wars_raw,source,wars_smooth,color,pop
1922,5.4,COW,10.509090909090908,-0.330250667299572,
1923,3.0,COW,9.172727272727272,-0.3886164936141007,
1924,3.4,COW,7.636363636363637,-0.3462636032184078,
1925,4.4,COW,6.127272727272728,-0.306365688485924,
1926,4.4,COW,4.654545454545455,-0.3477822563059645,
1927,2.6,COW,4.427272727272728,-0.3400751481066271,
1928,2.7,COW,4.445454545454546,-0.331141630652745,
1929,5.5,COW,4.718181818181819,-0.3108350559259891,
1930,4.5,COW,4.8090909090909095,-0.3491246726516126,2106406144.0
1931,5.3,COW,4.790909090909091,-0.3364317945523409,
1932,7.5,COW,4.7727272727272725,-0.3301898536752363,
1933,5.6,COW,5.1000000000000005,-0.3103074637860514,
1934,6.0,COW,6.354545454545455,-0.3237594240487539,
1935,4.4,COW,7.618181818181819,-0.31896191489453,
1936,4.2,COW,9.336363636363636,-0.329094201989336,
1937,4.2,COW,10.218181818181819,-0.3744270860284323,
1938,6.2,COW,11.02727272727273,-0.3054433619029503,
1939,16.5,COW,12.318181818181818,-0.3593055956722517,
1940,19.4,COW,13.663636363636364,-0.3581393661525654,2328460032.0
1941,23.4,COW,13.636363636363637,-0.4355382754408938,
1942,15.0,COW,13.818181818181818,-0.5167149694705471,
1943,16.4,COW,14.709090909090907,-0.5432899956510644,
1944,19.8,COW,14.854545454545455,-0.5188934615241871,
1945,20.8,COW,14.581818181818182,-0.4821774828324366,
1946,4.1,COW,14.509090909090908,-0.4790272887455623,
1947,6.2,COW,14.236363636363636,-0.46597242456085,
1948,14.0,COW,14.754545454545456,-0.4497062716983992,
1949,7.800000000000001,COW,13.9,-0.4646007826803501,
1950,13.5,COW,12.681818181818182,-0.4042845446946752,2493092801.0
1951,18.6,COW,11.772727272727273,-0.4123070422569182,2536926981.0
1952,20.4,COW,11.954545454545455,-0.4318967005872469,2584086282.0
1953,20.7,COW,12.227272727272727,-0.4269259638654019,2634106196.0
1954,6.999999999999999,COW,11.272727272727273,-0.4455963701157898,2685894824.0
1955,6.4,COW,10.881818181818181,-0.3954857734475392,2740213742.0
1956,10.8,COW,10.036363636363635,-0.3888174456117227,2795409946.0
1957,6.1,COW,8.945454545454545,-0.4364383158232101,2852618291.0
1958,9.2,COW,7.445454545454546,-0.4010531351775402,2911249598.0
1959,3.5,COW,5.9818181818181815,-0.4233085850284782,2965950296.0
1960,3.5,COW,6.4363636363636365,-0.4082456737830708,3015470858.0
1961,4.2,COW,6.781818181818181,-0.4201718593012697,3064869609.0
1962,6.6,COW,7.254545454545454,-0.4160362549672321,3123374259.0
1963,3.9,COW,8.100000000000001,-0.3958867431422887,3192807773.0
1964,4.6,COW,8.881818181818183,-0.4004996794545232,3264487295.0
1965,12.0,COW,10.654545454545454,-0.3929883533976007,3334533671.0
1966,10.2,COW,12.390909090909092,-0.3929985123174806,3404041061.0
1967,16.0,COW,13.481818181818182,-0.3805814057111963,3473412825.0
1968,15.4,COW,14.845454545454544,-0.3999221845479212,3545187204.0
1969,17.8,COW,15.32727272727273,-0.3864487570621951,3619491543.0
1970,23.0,COW,16.19090909090909,-0.403516458305348,3694683753.0
1971,22.6,COW,16.21818181818182,-0.4032898926174129,3769847803.0
1972,16.2,COW,16.33636363636364,-0.4068717510917609,3844917635.0
1973,21.6,COW,16.327272727272728,-0.3882251197418988,3920804971.0
1974,9.2,COW,16.39090909090909,-0.3977495467422043,3996416050.0
1975,14.1,COW,15.7,-0.4000584829382988,4070735208.0
1976,12.3,COW,14.536363636363633,-0.3877191278904678,4144246343.0
1977,11.5,COW,13.881818181818181,-0.3865130539185338,4217863768.0
1978,15.9,COW,13.51818181818182,-0.3766737302957696,4292097452.0
1979,16.1,COW,12.6,-0.3907036836482284,4368539442.0
1980,10.2,COW,12.736363636363636,-0.3831825681360493,4447606162.0
1981,10.2,COW,12.681818181818182,-0.3752733003674556,4528777252.0
1982,15.4,COW,12.97272727272727,-0.3889003234430549,4612673388.0
1983,12.2,COW,12.936363636363637,-0.374962344099021,4697327540.0
1984,11.5,COW,12.436363636363636,-0.3854463280876963,4782175455.0
1985,10.7,COW,11.881818181818181,-0.3904162598331791,4868943409.0
1986,13.5,COW,13.272727272727273,-0.378208400476068,4958072773.0
1987,15.5,COW,13.700000000000001,-0.3663487045860893,5049746328.0
1988,11.1,COW,13.245454545454548,-0.3677188384801084,5141992501.0
1989,10.4,COW,13.08181818181818,-0.3864476560703339,5234431681.0
1990,10.0,COW,12.836363636363636,-0.3836318750623082,5327803039.0
1991,25.5,COW,12.409090909090908,-0.3768945069339626,5418735854.0
1992,14.900000000000002,COW,11.754545454545456,-0.373028775334731,5505989763.0
1993,10.4,COW,11.10909090909091,-0.3732636691467753,5591544754.0
1994,10.4,COW,11.80909090909091,-0.3753762225974778,5675551219.0
1995,8.8,COW,11.618181818181819,-0.3625915278227342,5758878939.0
1996,6.0,COW,11.863636363636363,-0.3632332194611138,5842055673.0
1997,6.300000000000001,COW,10.045454545454547,-0.3640589984514343,5924787768.0
1998,8.4,COW,9.445454545454545,-0.3699929726007263,6007066661.0
1999,18.8,COW,9.00909090909091,-0.3660016957764938,6089006306.0
2000,8.3,COW,8.50909090909091,-0.3685094711801981,6171702952.0
2001,12.7,COW,8.02727272727273,-0.3659252201490101,6254936409.0
2002,5.500000000000001,COW,7.627272727272728,-0.3731846538169132,6337730260.0
2003,8.3,COW,7.93868542524669,-0.3602912113577274,6420361599.0
2004,5.6,COW,8.00979573785898,-0.3795470257337467,6503377733.0
2005,4.9,COW,7.0317255866662975,-0.3637875502542951,6586970109.0
2006,3.5,COW,7.171198761712595,-0.3666002901259794,6671451961.0
2007,1.6,COW,6.83164266563476,-0.3629306557816454,6757308732.0
2008,9.725539677713591,UCDP,7.279993919124354,,
2009,9.182213438735177,UCDP,7.701008872550375,,
2010,8.041228336880511,UCDP,8.59962685535808,,
2011,9.834204925509274,UCDP,9.547063213466375,,
2012,8.964882943143813,UCDP,10.64646894607369,,
2013,10.431863788385527,UCDP,11.869208656955692,,
2014,12.931164487686228,UCDP,12.555775449846596,,
2015,15.484797810884768,UCDP,13.336189502197408,,
2016,15.321799939191244,UCDP,14.11660355454822,,
2017,15.59346305868045,UCDP,14.743898394096023,,
2018,15.050136819702038,UCDP,15.465040493103738,,
2019,17.277774399513532,UCDP,16.12197130932309,,
2020,17.766768014594103,UCDP,16.441051991486777,,
2021,16.625782912739435,UCDP,16.54730245599811,,
2022,16.73444816053512,UCDP,16.70049027059897,,
2023,16.897446032228643,UCDP,16.858637015158756,,
2024,17.65810276679842,UCDP,17.160053714401542,,
