year,wars,wars_smooth,wars_pc,pop,color,gdelt_wars,gdelt_goldstein
1950,13.5,12.681818181818182,5.086781437390297e-09,2493092801.0,-0.40428454469467523,0,
1951,18.599999999999998,11.772727272727273,4.6405463621529724e-09,2536926981.0,-0.4123070422569182,0,
1952,20.400000000000002,11.954545454545455,4.626217606516226e-09,2584086282.0,-0.43189670058724694,0,
1953,20.7,12.227272727272727,4.6419057613699665e-09,2634106196.0,-0.4269259638654019,0,
1954,6.999999999999999,11.272727272727273,4.197009939480517e-09,2685894824.0,-0.4455963701157898,0,
1955,6.4,10.881818181818183,3.971156707606272e-09,2740213742.0,-0.3954857734475392,0,
1956,10.8,10.036363636363637,3.590301183096541e-09,2795409946.0,-0.38881744561172277,0,
1957,6.1,8.945454545454545,3.1358750568477463e-09,2852618291.0,-0.4364383158232101,0,
1958,9.200000000000001,7.445454545454546,2.5574772257828736e-09,2911249598.0,-0.4010531351775402,0,
1959,3.5,5.9818181818181815,2.016830217918858e-09,2965950296.0,-0.4233085850284782,0,
1960,3.5,6.4363636363636365,2.134447301749927e-09,3015470858.0,-0.40824567378307086,0,
1961,4.2,6.781818181818181,2.212759120943791e-09,3064869609.0,-0.4201718593012697,0,
1962,6.6,7.254545454545454,2.322662880902437e-09,3123374259.0,-0.4160362549672321,0,
1963,3.9000000000000004,8.100000000000001,2.5369519795390455e-09,3192807773.0,-0.3958867431422887,0,
1964,4.6,8.881818181818183,2.7207390867845857e-09,3264487295.0,-0.40049967945452325,0,
1965,12.0,10.654545454545454,3.1952130359955972e-09,3334533671.0,-0.39298835339760074,0,
1966,10.200000000000001,12.390909090909092,3.6400586446712937e-09,3404041061.0,-0.3929985123174806,0,
1967,16.0,13.481818181818182,3.881432717925829e-09,3473412825.0,-0.3805814057111963,0,
1968,15.4,14.845454545454544,4.1874952410706444e-09,3545187204.0,-0.3999221845479212,0,
1969,17.8,15.32727272727273,4.23464802864791e-09,3619491543.0,-0.3864487570621951,0,
1970,23.0,16.19090909090909,4.382217849568975e-09,3694683753.0,-0.403516458305348,0,
1971,22.599999999999998,16.218181818181815,4.302078668872409e-09,3769847803.0,-0.4032898926174129,0,
1972,16.2,16.336363636363636,4.248820179567679e-09,3844917635.0,-0.40687175109176094,0,
1973,21.599999999999998,16.327272727272728,4.164265462841541e-09,3920804971.0,-0.3882251197418988,0,
1974,9.200000000000001,16.39090909090909,4.101402077721385e-09,3996416050.0,-0.39774954674220436,0,
1975,14.1,15.7,3.85679716262203e-09,4070735208.0,-0.4000584829382988,0,
1976,12.3,14.536363636363633,3.5076012459821176e-09,4144246343.0,-0.3877191278904678,0,
1977,11.5,13.881818181818181,3.291196431505557e-09,4217863768.0,-0.3865130539185338,0,
1978,15.9,13.518181818181818,3.149551465072797e-09,4292097452.0,-0.3766737302957696,0,
1979,16.1,12.6,2.884259182568232e-09,4368539442.0,-0.39070368364822844,14785,1.0467195827503382
1980,10.2,12.736363636363636,2.8636446601729564e-09,4447606162.0,-0.3831825681360493,22175,0.6066634984455461
1981,10.2,12.681818181818182,2.800274218878315e-09,4528777252.0,-0.3752733003674556,30534,0.36547657255288235
1982,15.399999999999999,12.97272727272727,2.812409676886334e-09,4612673388.0,-0.3889003234430549,35453,0.3357541512300125
1983,12.2,12.936363636363637,2.7539837335600484e-09,4697327540.0,-0.37496234409902107,39791,0.30904378944475686
1984,11.5,12.436363636363637,2.6005661551712427e-09,4782175455.0,-0.38544632808769635,43713,0.2871848079868956
1985,10.7,11.881818181818181,2.4403278460487403e-09,4868943409.0,-0.3904162598331791,47658,0.3530980759402972
1986,13.5,13.272727272727273,2.6769932351550165e-09,4958072773.0,-0.378208400476068,47114,0.3515726648757653
1987,15.5,13.700000000000001,2.7130075671397174e-09,5049746328.0,-0.36634870458608937,46149,0.4701137553176429
1988,11.100000000000001,13.245454545454544,2.575938129602213e-09,5141992501.0,-0.36771883848010845,47062,0.6419761550484552
1989,10.4,13.081818181818182,2.4991859630726895e-09,5234431681.0,-0.38644765607033393,39482,0.710974436685779
1990,10.0,12.836363636363638,2.4093164748021457e-09,5327803039.0,-0.3836318750623082,37279,0.8430838573859611
1991,25.5,12.409090909090908,2.290034289073303e-09,5418735854.0,-0.37689450693396265,48485,0.9788216666856893
1992,14.900000000000002,11.754545454545456,2.1348651124518e-09,5505989763.0,-0.373028775334731,34073,1.0724953512863622
1993,10.4,11.10909090909091,1.986765982896559e-09,5591544754.0,-0.3732636691467753,51346,0.7088227199346121
1994,10.4,11.80909090909091,2.080694976297228e-09,5675551219.0,-0.3753762225974778,65297,0.7766053116395074
1995,8.8,11.618181818181817,2.017438105792037e-09,5758878939.0,-0.36259152782273424,69807,0.6450998052224991
1996,6.0,11.863636363636363,2.0307297683700734e-09,5842055673.0,-0.3632332194611138,84997,0.8902161690839151
1997,6.300000000000001,10.045454545454545,1.6954960985624531e-09,5924787768.0,-0.3640589984514343,92303,1.136143965689996
1998,8.4,9.445454545454545,1.5723904991395842e-09,6007066661.0,-0.3699929726007263,108226,0.9964373851554396
1999,18.8,9.00909090909091,1.4795666905802856e-09,6089006306.0,-0.3660016957764938,145164,0.8538691131590106
2000,8.3,8.50909090909091,1.3787265808594137e-09,6171702952.0,-0.36850947118019817,140798,0.83521564562102
2001,12.7,8.027272727272727,1.2833500138742542e-09,6254936409.0,-0.36592522014901013,170034,0.6847597376007579
2002,5.500000000000001,7.627272727272728,1.2034707086559926e-09,6337730260.0,-0.37318465381691324,156217,0.6161549885647433
2003,8.3,7.760000000000001,1.2086546653709747e-09,6420361599.0,-0.3602912113577274,175237,0.6917725507336583
2004,5.6,7.688888888888889,1.1822916036190342e-09,6503377733.0,-0.37954702573374677,176847,0.5472351418416163
2005,4.9,6.300000000000001,9.56433670678435e-10,6586970109.0,-0.3637875502542951,134312,0.5029012843546742
2006,3.5,6.014285714285715,9.014957687537961e-10,6671451961.0,-0.3666002901259794,227015,0.4229071345134742
2007,1.6,4.900000000000001,7.251407615572597e-10,6757308732.0,-0.36293065578164546,335638,0.3753137644606088
